Section,Role,Channel,Title,Test Data,Preconditions,Steps,Expected Result,Platform,TestMethod,Type,P,References,Release version,QA Responsibility,TestRailID
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check validation error should appear when process endpoint URL is not HTTPS,Process endpoint: http://api.example.com/process,Admin is on Create wizard process step,"1. Enter HTTP (not HTTPS) URL in process endpoint field
2. Attempt to proceed
3. Observe validation","1. Validation error shows HTTPS is required
2. Field is highlighted with error state
3. User cannot proceed with HTTP URL",Web,Manual,Regression Test,P1,Create Wizard,,,C1552321
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check validation error should appear when audience is empty in Create wizard,No users or groups selected,Admin is on Create wizard audience step,"1. Do not select any users or groups
2. Attempt to create job
3. Observe validation","1. Validation error shows audience is required
2. Create button remains disabled
3. Error message indicates at least 1 user or group needed",Web,Manual,Regression Test,P1,Create Wizard,,,C1552322
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check validation should reject runUntilTimes when value exceeds maximum of 10,runUntilTimes: 11,Admin is on Create wizard schedule step with termination enabled,"1. Select Run Until Times option
2. Enter value 11
3. Observe validation","1. Validation error shows maximum is 10
2. Field shows error state
3. Cannot proceed with invalid value",Web,Manual,Regression Test,P2,Create Wizard,,,C1552323
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check Create wizard should handle correctly when navigating back and forth between steps,Partially filled form data in each step,Admin is on Create wizard with data entered in steps 1-3,"1. Navigate to step 3
2. Click Back to step 2
3. Click Back to step 1
4. Click Next through all steps","1. All previously entered data is preserved
2. No data loss when navigating between steps
3. Validation state is maintained",Web,Manual,Regression Test,P2,Create Wizard,,,C1552324
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check Create wizard should prevent duplicate job names when name already exists,Job name: Existing Morning Brief (already in use),Admin is on Create wizard Step 1 / a job with same name exists,"1. Enter a job name that already exists
2. Attempt to proceed or create
3. Observe validation","1. Validation error shows name already exists
2. User is prompted to choose a different name",Web,Manual,Regression Test,P2,Create Wizard,,,C1552325
EkoAI Console > Release 18.00 (Morning Brief) > Job Configuration (UI),Admin,Web,Check job configuration page should display all fields when opening an existing job,Existing scheduled job with all fields configured,Admin is logged in to EkoAI Console,"1. Navigate to Dashboard
2. Click on an existing job
3. Observe configuration page","1. Job name field is populated
2. Schedule configuration shows current RRULE
3. Process endpoint URL is displayed
4. Action mode is shown
5. Audience section shows current selection",Web,Manual,Smoke Test,P1,Job Configuration,,,C1552326
EkoAI Console > Release 18.00 (Morning Brief) > Job Configuration (UI),Admin,Web,Check job name should be updated successfully when editing on configuration page,New job name: Updated Morning Brief,Admin is on job configuration page,"1. Clear existing job name
2. Enter new job name
3. Click Save
4. Observe result","1. Job name is updated
2. Success message is displayed
3. Dashboard reflects new name",Web,Manual,Smoke Test,P1,Job Configuration,,,C1552327
EkoAI Console > Release 18.00 (Morning Brief) > Job Configuration (UI),Admin,Web,Check active/inactive toggle should update job status on configuration page,,Admin is on configuration page of an Active job,"1. Click active/inactive toggle
2. Confirm status change
3. Observe result","1. Toggle switches to Inactive state
2. Job status updates immediately
3. isEnabled field is set to false",Web,Manual,Smoke Test,P1,Job Configuration,,,C1552328
EkoAI Console > Release 18.00 (Morning Brief) > Job Configuration (UI),Admin,Web,Check schedule change should recalculate nextRun when RRULE is modified on configuration page,Change from daily to weekly schedule,Admin is on configuration page of an existing job,"1. Modify schedule from daily to weekly (Monday)
2. Save configuration
3. Observe nextRun display","1. nextRun is recalculated based on new RRULE
2. Next occurrence shows correct Monday date
3. Schedule preview updates",Web,Manual,Smoke Test,P1,Job Configuration,,,C1552329
EkoAI Console > Release 18.00 (Morning Brief) > Job Configuration (UI),Admin,Web,Check delete confirmation dialog should appear when clicking delete button on configuration page,,Admin is on job configuration page,"1. Click Delete button
2. Observe confirmation dialog","1. Confirmation dialog appears
2. Dialog shows job name
3. Cancel and Confirm buttons are present",Web,Manual,Sanity Test,P2,Job Configuration,,,C1552330
EkoAI Console > Release 18.00 (Morning Brief) > Job Configuration (UI),Admin,Web,Check job should be deleted successfully when confirming deletion on configuration page,,Admin is on job configuration page / delete dialog is open,"1. Click Confirm Delete button
2. Observe result","1. Job is deleted successfully
2. User is redirected to Dashboard
3. Deleted job is no longer in list",Web,Manual,Regression Test,P1,Job Configuration,,,C1552331
EkoAI Console > Release 18.00 (Morning Brief) > Job Configuration (UI),Admin,Web,Check validation error should appear when saving configuration with empty required fields,Job name cleared to empty,Admin is on job configuration page,"1. Clear the job name field
2. Click Save
3. Observe validation","1. Validation error appears for empty name
2. Save is prevented
3. Error message is descriptive",Web,Manual,Regression Test,P1,Job Configuration,,,C1552332
EkoAI Console > Release 18.00 (Morning Brief) > Job Configuration (UI),Admin,Web,Check configuration should reject invalid process endpoint URL format,Process endpoint: not-a-valid-url,Admin is on job configuration page,"1. Enter invalid URL in process endpoint field
2. Click Save
3. Observe validation","1. Validation error shows invalid URL format
2. Save is prevented
3. Field shows error state",Web,Manual,Regression Test,P2,Job Configuration,,,C1552333
EkoAI Console > Release 18.00 (Morning Brief) > Job Configuration (UI),Admin,Web,Check configuration should handle concurrent edits when two admins edit the same job,Two admin sessions with same job open,Admin A and Admin B both have same job configuration open,"1. Admin A changes job name and saves
2. Admin B changes schedule and saves
3. Observe conflict handling","1. Second save either shows conflict warning or merges changes
2. No silent data loss occurs
3. Final state is consistent",Web,Manual,Regression Test,P2,Job Configuration,,,C1552334
EkoAI Console > Release 18.00 (Morning Brief) > Job Configuration (UI),Admin,Web,Check configuration page should preserve unsaved changes when navigating away accidentally,Unsaved form edits,Admin has made changes on configuration page,"1. Modify job name
2. Click sidebar navigation to leave page
3. Observe browser behavior","1. Unsaved changes warning appears
2. User can choose to stay or leave
3. Choosing stay preserves edits",Web,Manual,Regression Test,P2,Job Configuration,,,C1552335
EkoAI Console > Release 18.00 (Morning Brief) > Job Configuration (UI),Admin,Web,Check process timeout field should accept values within valid range on configuration page,Timeout values: 1s / 100s / maximum,Admin is on job configuration page,"1. Set process timeout to 1 second
2. Save and verify
3. Set process timeout to 100 seconds (default)
4. Save and verify","1. Both values are accepted
2. Default shows 100s
3. Field validates within allowed range",Web,Manual,Regression Test,P1,Job Configuration,,,C1552336
EkoAI Console > Release 18.00 (Morning Brief) > Recipients (UI),Admin,Web,Check audience table should display selected users when users are added to job,2 individual users selected as audience,Admin is on Recipients page of a job with users assigned,"1. Navigate to Recipients page
2. Observe audience table","1. Table shows 2 user rows
2. Each row displays user name and email
3. Total audience count shows 2",Web,Manual,Smoke Test,P1,Recipients,,,C1552337
EkoAI Console > Release 18.00 (Morning Brief) > Recipients (UI),Admin,Web,Check audience table should display group members when a group is added to job,1 user group with 5 members,Admin is on Recipients page of a job with 1 group assigned,"1. Navigate to Recipients page
2. Observe audience table and group display","1. Group name is displayed
2. Member count shows 5
3. Expandable view shows individual members",Web,Manual,Smoke Test,P1,Recipients,,,C1552338
EkoAI Console > Release 18.00 (Morning Brief) > Recipients (UI),Admin,Web,Check user should be added to audience when selecting from user search on Recipients page,User to add: testuser@example.com,Admin is on Recipients page,"1. Click Add User button
2. Search for testuser@example.com
3. Select the user
4. Observe audience table","1. User search returns matching results
2. Selected user appears in audience table
3. Audience count increments by 1",Web,Manual,Smoke Test,P1,Recipients,,,C1552339
EkoAI Console > Release 18.00 (Morning Brief) > Recipients (UI),Admin,Web,Check group should be added to audience when selecting from group search on Recipients page,Group to add: QA Team (10 members),Admin is on Recipients page,"1. Click Add Group button
2. Search for QA Team
3. Select the group
4. Observe audience table","1. Group appears in audience list
2. Member count shows 10
3. Audience total updates",Web,Manual,Sanity Test,P1,Recipients,,,C1552340
EkoAI Console > Release 18.00 (Morning Brief) > Recipients (UI),Admin,Web,Check user should be removed from audience when clicking remove button on Recipients page,Existing user in audience list,Admin is on Recipients page with at least 1 user,"1. Click remove button next to a user
2. Confirm removal
3. Observe audience table","1. User is removed from audience list
2. Audience count decrements by 1
3. Removed user no longer appears",Web,Manual,Sanity Test,P2,Recipients,,,C1552341
EkoAI Console > Release 18.00 (Morning Brief) > Recipients (UI),Admin,Web,Check audience count should display correct total when both users and groups are combined,2 individual users + 1 group with 5 members = 7 total,Admin is on Recipients page with mixed audience,"1. Add 2 individual users
2. Add 1 group with 5 members
3. Observe total audience count","1. Total count shows 7
2. Breakdown shows 2 users + 1 group (5 members)
3. No duplicate counting for overlapping members",Web,Manual,Regression Test,P1,Recipients,,,C1552342
EkoAI Console > Release 18.00 (Morning Brief) > Recipients (UI),Admin,Web,Check audience resolution should happen at trigger time not at configuration time,Group membership changes between config and trigger,Admin configures job with group of 5 members / then 2 new members are added to group,"1. Configure job with group audience
2. Add 2 new members to the group via Eko Platform
3. Trigger the job
4. Observe audience count at run time","1. Job processes 7 users (5 original + 2 new)
2. Audience was resolved at trigger time
3. Run log shows 7 recipients",API,Manual,Regression Test,P1,Recipients,,,C1552343
EkoAI Console > Release 18.00 (Morning Brief) > Recipients (UI),Admin,Web,Check validation error should appear when attempting to save job with empty audience,No users or groups selected,Admin is on Recipients page with empty audience,"1. Remove all users and groups
2. Attempt to save configuration
3. Observe validation","1. Validation error shows audience cannot be empty
2. Save is prevented
3. Error message is descriptive",Web,Manual,Regression Test,P1,Recipients,,,C1552344
EkoAI Console > Release 18.00 (Morning Brief) > Recipients (UI),Admin,Web,Check Recipients page should handle correctly when a user in audience is deactivated,User in audience list has been deactivated on Eko Platform,Admin is on Recipients page / one audience user is deactivated,"1. Navigate to Recipients page
2. Observe deactivated user row
3. Check job trigger behavior","1. Deactivated user is marked or flagged in audience list
2. System handles deactivated user gracefully at trigger time",Web,Manual,Regression Test,P2,Recipients,,,C1552345
EkoAI Console > Release 18.00 (Morning Brief) > Recipients (UI),Admin,Web,Check audience table should handle correctly when audience contains 500+ users across groups,Multiple groups totaling 500+ unique users,Admin is on Recipients page with large audience,"1. Add multiple groups totaling 500+ members
2. Observe audience table performance
3. Check audience count accuracy","1. Table loads without timeout
2. Pagination or virtual scrolling is functional
3. Total count is accurate",Web,Manual,Regression Test,P2,Recipients,,,C1552346
EkoAI Console > Release 18.00 (Morning Brief) > Recipients (UI),Admin,Web,Check duplicate user should not be counted twice when same user exists in multiple groups,User exists in Group A and Group B,Admin adds both Group A and Group B to audience,"1. Add Group A (contains user X)
2. Add Group B (also contains user X)
3. Observe total audience count","1. User X is not double-counted
2. Total audience count reflects unique users only
3. Deduplication is handled correctly",Web,Manual,Regression Test,P2,Recipients,,,C1552347
EkoAI Console > Release 18.00 (Morning Brief) > History Logs (UI),Admin,Web,Check history logs should display run records when job has been executed at least once,Job with 3 completed runs,Admin is logged in / job has execution history,"1. Navigate to job detail
2. Click History Logs tab
3. Observe run history table","1. History table shows 3 run records
2. Each row shows run date / status / duration
3. Records are sorted by date descending",Web,Manual,Smoke Test,P1,History Logs,,,C1552348
EkoAI Console > Release 18.00 (Morning Brief) > History Logs (UI),Admin,Web,Check run status should display correct color coding for SUCCESS / FAILED / PARTIAL / PROCESSING states,Runs with each status type,Admin is on History Logs with mixed-status runs,"1. Navigate to History Logs
2. Observe status badges for each run","1. SUCCESS shows green badge
2. FAILED shows red badge
3. PARTIAL shows orange badge
4. PROCESSING shows blue/spinning badge",Web,Manual,Smoke Test,P1,History Logs,,,C1552349
EkoAI Console > Release 18.00 (Morning Brief) > History Logs (UI),Admin,Web,Check run detail view should open when clicking on a history log entry,Completed run with 10 users processed,Admin is on History Logs tab,"1. Click on a completed run entry
2. Observe detail view","1. Detail view opens
2. Shows per-user processing status
3. Total / success / failed counts are displayed
4. Timestamps are shown",Web,Manual,Smoke Test,P1,History Logs,,,C1552350
EkoAI Console > Release 18.00 (Morning Brief) > History Logs (UI),Admin,Web,Check failure logs should display error details when viewing a failed run in History Logs,Run with 3 failed user processes,Admin is on History Logs / a failed run exists,"1. Click on a failed run entry
2. Observe failure details
3. Check per-user error information","1. Failure log section is visible
2. Each failed user shows error message
3. Error details include HTTP status and response body summary",Web,Manual,Sanity Test,P1,History Logs,,,C1552351
EkoAI Console > Release 18.00 (Morning Brief) > History Logs (UI),Admin,Web,Check per-user status should be visible when expanding a run detail in History Logs,Run with 5 SUCCESS and 2 FAILED users,Admin is on History Logs detail view,"1. Open run detail
2. Observe per-user status list","1. Each user shows individual status (SUCCESS or FAILED)
2. Success count shows 5
3. Failed count shows 2
4. Total matches 7",Web,Manual,Sanity Test,P2,History Logs,,,C1552352
EkoAI Console > Release 18.00 (Morning Brief) > History Logs (UI),Admin,Web,Check History Logs should show empty state when job has never been executed,Newly created job with no runs,Admin is on History Logs of a new job,"1. Navigate to History Logs tab of a new job
2. Observe page content","1. Empty state message is displayed
2. Message indicates no runs yet
3. No table rows are shown",Web,Manual,Regression Test,P2,History Logs,,,C1552353
EkoAI Console > Release 18.00 (Morning Brief) > History Logs (UI),Admin,Web,Check History Logs should handle correctly when a run is currently in PROCESSING state,Active run in progress,Admin is on History Logs / a run is currently processing,"1. Navigate to History Logs during an active run
2. Observe the processing run entry","1. Processing run shows at top of list
2. Status shows PROCESSING with loading indicator
3. Run detail shows real-time per-user progress",Web,Manual,Regression Test,P1,History Logs,,,C1552354
EkoAI Console > Release 18.00 (Morning Brief) > History Logs (UI),Admin,Web,Check History Logs pagination should work correctly when job has 50+ run records,Job with 50+ historical runs,Admin is on History Logs with many records,"1. Navigate to History Logs
2. Scroll or click to page 2
3. Observe pagination behavior","1. First page shows default number of records
2. Pagination controls are visible
3. Page 2 loads next batch of records correctly",Web,Manual,Regression Test,P2,History Logs,,,C1552355
EkoAI Console > Release 18.00 (Morning Brief) > History Logs (UI),Admin,Web,Check PARTIAL status should be shown correctly when a run has mixed success and failure results,Run with 7 SUCCESS / 3 FAILED out of 10 users,Admin is on History Logs,"1. Locate a run with partial completion
2. Observe status badge
3. Open detail view","1. Run status shows PARTIAL (not SUCCESS or FAILED)
2. Badge shows orange color
3. Detail shows 7 success / 3 failed breakdown",Web,Manual,Regression Test,P1,History Logs,,,C1552356
EkoAI Console > Release 18.00 (Morning Brief) > History Logs (UI),Admin,Web,Check History Logs should display correct duration for long-running jobs that took over 1 hour,Run that took 1 hour 23 minutes,Admin is on History Logs with a long-running completed job,"1. Locate the long-running job in History Logs
2. Observe the duration column","1. Duration shows 1h 23m format (not raw milliseconds)
2. Time format is human-readable",Web,Manual,Regression Test,P2,History Logs,,,C1552357
EkoAI Console > Release 18.00 (Morning Brief) > Trigger Step (API),Admin,API,Check scheduler should trigger job when nextRun time is reached,Job with nextRun set to current time,Active scheduled job exists with upcoming nextRun,"1. Create job with nextRun in 1 minute
2. Wait for trigger time
3. Observe job execution","1. Scheduler picks up the job at nextRun time
2. Job run is created with PROCESSING status
3. Audience is resolved from users[] and groups[]",API,Manual,Smoke Test,P1,Trigger Step,,,C1552358
EkoAI Console > Release 18.00 (Morning Brief) > Trigger Step (API),Admin,API,Check nextRun should be recalculated based on RRULE after successful job execution,Job with FREQ=DAILY RRULE,Job has just completed a run,"1. Trigger a daily scheduled job
2. After run completes / check nextRun
3. Verify RRULE calculation","1. nextRun is updated to next occurrence per RRULE
2. Date matches expected DTSTART + RRULE calculation
3. isEnabled remains true",API,Manual,Smoke Test,P1,Trigger Step,,,C1552359
EkoAI Console > Release 18.00 (Morning Brief) > Trigger Step (API),Admin,API,Check job should create frozen config snapshot at trigger time,Job with specific configuration,Active scheduled job exists,"1. Trigger the job
2. Inspect ScheduledJobRun record
3. Verify snapshot contains config at trigger time","1. Run record contains frozen copy of job config
2. Snapshot includes RRULE / audience / process / action settings
3. Subsequent config changes do not affect running job",API,Manual,Sanity Test,P1,Trigger Step,,,C1552360
EkoAI Console > Release 18.00 (Morning Brief) > Trigger Step (API),Admin,API,Check RRULE with BYSETPOS should calculate correct occurrence dates for complex schedules,RRULE: FREQ=MONTHLY;BYDAY=MO;BYSETPOS=1 (first Monday of each month),Job configured with complex RRULE,"1. Create job with first-Monday-of-month RRULE
2. Check nextRun calculations for 3 months
3. Verify accuracy","1. nextRun correctly identifies first Monday of each month
2. Edge cases (month starting on Monday) are handled
3. No off-by-one errors",API,Manual,Sanity Test,P2,Trigger Step,,,C1552361
EkoAI Console > Release 18.00 (Morning Brief) > Trigger Step (API),Admin,API,Check scheduler should NOT trigger job when isEnabled is false,Inactive job with past nextRun,Job exists with isEnabled=false and nextRun in the past,"1. Set job to inactive (isEnabled=false)
2. Wait past the nextRun time
3. Observe scheduler behavior","1. Scheduler does not pick up the job
2. No run record is created
3. nextRun is not recalculated",API,Manual,Regression Test,P1,Trigger Step,,,C1552362
EkoAI Console > Release 18.00 (Morning Brief) > Trigger Step (API),Admin,API,Check job should terminate when runUntilTimes limit is reached,runUntilTimes: 3 / job has completed 3 runs,Job has run exactly 3 times / runUntilTimes is set to 3,"1. Verify job has completed 3 runs
2. Check job status after 3rd run
3. Verify no 4th run is triggered","1. Job is automatically disabled after 3rd run
2. isEnabled is set to false
3. No further runs are scheduled",API,Manual,Regression Test,P1,Trigger Step,,,C1552363
EkoAI Console > Release 18.00 (Morning Brief) > Trigger Step (API),Admin,API,Check job should terminate when endDate is reached,endDate: yesterday's date / nextRun: today,Job with endDate that has passed,"1. Check job with expired endDate
2. Verify scheduler behavior
3. Check job status","1. Scheduler does not trigger job past endDate
2. Job status shows completed or disabled
3. No new runs are created",API,Manual,Regression Test,P1,Trigger Step,,,C1552364
EkoAI Console > Release 18.00 (Morning Brief) > Trigger Step (API),Admin,API,Check scheduler should handle correctly when RRULE generates no more occurrences,RRULE with COUNT=1 and job has already run once,Job with finite RRULE that has exhausted all occurrences,"1. Create job with RRULE COUNT=1
2. Run once
3. Check nextRun after completion","1. nextRun is null or empty
2. Job is disabled (no more occurrences)
3. No error is thrown",API,Manual,Regression Test,P2,Trigger Step,,,C1552365
EkoAI Console > Release 18.00 (Morning Brief) > Trigger Step (API),Admin,API,Check trigger should prevent concurrent execution when same job is triggered while already running,Job already in PROCESSING state,An active run exists for the same job,"1. Trigger job while a run is still PROCESSING
2. Observe system behavior","1. Second trigger is rejected or queued
2. No duplicate run is created
3. Active run continues unaffected",API,Manual,Regression Test,P1,Trigger Step,,,C1552366
EkoAI Console > Release 18.00 (Morning Brief) > Trigger Step (API),Admin,API,Check trigger should handle timezone correctly when DTSTART uses different timezone offset,DTSTART with UTC+7 offset / server in UTC,Job with timezone-aware RRULE,"1. Create job with DTSTART in UTC+7
2. Verify nextRun conversion to server timezone
3. Check trigger accuracy","1. nextRun is correctly converted to server timezone
2. Job triggers at expected local time
3. No DST or offset miscalculation",API,Manual,Regression Test,P2,Trigger Step,,,C1552367
EkoAI Console > Release 18.00 (Morning Brief) > Process Step (API),Admin,API,Check process step should dispatch individual request for each audience user to external endpoint,10 users in audience / process endpoint configured,Job is triggered / audience resolved to 10 users,"1. Trigger job with 10 audience users
2. Monitor requests to process endpoint
3. Verify per-user dispatch","1. External endpoint receives 10 individual requests
2. Each request contains unique user context
3. All 10 requests are dispatched",API,Manual,Smoke Test,P1,Process Step,,,C1552368
EkoAI Console > Release 18.00 (Morning Brief) > Process Step (API),Admin,API,Check process step should use slow-start adaptive throttling algorithm,50 users in audience,Job is triggered with large audience,"1. Trigger job with 50 users
2. Monitor request dispatch timing
3. Observe throttling pattern","1. Initial requests are dispatched slowly
2. Rate increases gradually (slow-start)
3. No burst of all 50 requests at once",API,Manual,Smoke Test,P1,Process Step,,,C1552369
EkoAI Console > Release 18.00 (Morning Brief) > Process Step (API),Admin,API,Check webhook should be sent to process endpoint with correct payload format,Expected payload: POST {endpoint}/webhook with x-api-key header,Job is triggered / process step is executing,"1. Trigger job
2. Capture webhook request at process endpoint
3. Verify payload structure","1. Request method is POST
2. URL is {endpoint}/webhook
3. x-api-key header is present
4. Payload contains user context and job metadata",API,Manual,Smoke Test,P1,Process Step,,,C1552370
EkoAI Console > Release 18.00 (Morning Brief) > Process Step (API),Admin,API,Check process step should timeout after configured limit when endpoint does not respond,Process endpoint configured to delay 120s / timeout set to 100s,Job with process timeout of 100s,"1. Configure process endpoint to delay response
2. Trigger job
3. Wait for timeout period","1. Process request times out after 100s
2. User status is marked as FAILED
3. Timeout error is logged",API,Manual,Sanity Test,P1,Process Step,,,C1552371
