Section,Role,Channel,Title,Test Data,Preconditions,Steps,Expected Result,Platform,TestMethod,Type,P,References,Release version,QA Responsibility
Scheduled Jobs > Edit Scheduler > Audience,Admin,Web,Verify deselecting all users after previous save,,Job has 3 users selected,1. Uncheck all 3. 2. Click Update Audience.,Warning about empty audience or consistent with zero selection behavior.,Web,Manual,Regression Test,P2,Audience,,
Scheduled Jobs > Edit Scheduler > Audience,Admin,Web,Verify selecting all 500+ users,500+ users available,Audience tab with large user list,1. Click Select All (if exists). 2. Observe count and performance. 3. Click Update Audience.,All selected with correct count. UI not frozen. Save completes.,Web,Manual,Regression Test,P2,Audience,,
Scheduled Jobs > Edit Scheduler > Audience,Admin,Web,Verify duplicate users across individual and group deduplicated,User A in both individual list and Engineering Team,User A exists individually and in a group,1. Select User A individually. 2. Select group containing User A. 3. Update Audience.,System deduplicates. User A receives delivery once. Count reflects unique users.,Web,Manual,Regression Test,P2,Audience,,
Scheduled Jobs > Edit Scheduler > History Logs,Admin,Web,Verify History Logs displays rates and run history,,Job has 5+ completed runs (mix success/failure),1. Click History Logs tab. 2. Observe stats. 3. Observe run history table.,Accurate rates (e.g. 60.5% / 19.5%). Table shows Job Name / Failed at / audience count.,Web,Manual,Smoke Test,P0,History Logs,,
Scheduled Jobs > Edit Scheduler > History Logs,Admin,Web,Verify retrying failed deliveries triggers reprocessing,,History Logs tab / failed deliveries with retry buttons,1. Locate failed delivery. 2. Click Retry. 3. Observe confirmation dialog. 4. Confirm.,Dialog: Retry Failed Deliveries?. Retry initiated. Status updates.,Web,Manual,Smoke Test,P1,History Logs,,
Scheduled Jobs > Edit Scheduler > History Logs,Admin,Web,Verify export downloads history log data,,History Logs with data,1. Click Export. 2. Observe download.,CSV/Excel downloaded with all columns. Data matches UI.,Web,Manual,Sanity Test,P2,History Logs,,
Scheduled Jobs > Edit Scheduler > History Logs,Admin,Web,Verify pagination navigates correctly,,400+ run records exist,1. Observe 1-10 of 400. 2. Click next. 3. Click previous.,Page 2: 11-20 of 400. Previous: 1-10. No duplicates.,Web,Manual,Sanity Test,P2,History Logs,,
Scheduled Jobs > Edit Scheduler > History Logs,Admin,Web,Verify retry disabled when no failures exist,,Run with all COMPLETED deliveries,1. Navigate to History Logs. 2. View successful run. 3. Check retry buttons.,Retry buttons hidden or disabled. Failure section empty.,Web,Manual,Regression Test,P2,History Logs,,
Scheduled Jobs > Edit Scheduler > History Logs,Admin,Web,Verify export handles empty history gracefully,,Newly created job with no runs,1. Navigate to History Logs. 2. Observe empty table. 3. Click Export.,Export disabled or No data to export message. If file: headers only.,Web,Manual,Regression Test,P2,History Logs,,
Scheduled Jobs > Edit Scheduler > History Logs,Admin,Web,Verify retry disabled on already-retrying delivery,,Failed delivery retry currently PROCESSING,1. Locate in-progress retry. 2. Attempt click Retry again.,Button disabled. No duplicate retry. Status tooltip shown.,Web,Manual,Regression Test,P2,History Logs,,
Scheduled Jobs > Edit Scheduler > History Logs,Admin,Web,Verify last page pagination with fewer records,,Total records = 43,1. Navigate to last page. 2. Observe indicator and rows.,Shows 41-43 of 43. Next disabled. Only 3 rows.,Web,Manual,Regression Test,P2,History Logs,,
Scheduled Jobs > Edit Scheduler > History Logs,Admin,Web,Verify rapid retry clicks handled correctly,,Failed delivery visible,1. Rapidly double/triple click Retry.,Only one retry triggered. Button debounced or dialog prevents duplicates.,Web,Manual,Regression Test,P2,History Logs,,
Scheduled Jobs > Edit Scheduler > History Logs,Admin,Web,Verify stats recalculate after retry success,,Success Rate 60.5% / failed delivery exists,1. Note rates. 2. Retry failed delivery. 3. Wait for success. 4. Refresh.,Success Rate increases / Failed Rate decreases. Mathematically consistent.,Web,Manual,Regression Test,P2,History Logs,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify job creation succeeds with all required fields,Body: { name / cron_expression: 0 8 * * * / webhook_url / webhook_api_key / action_type: home_page_widget },Admin authenticated with valid JWT,1. POST /api/v1/scheduled-jobs with required fields. 2. Inspect response.,201 with job object / generated id / status ACTIVE.,API,Manual,Smoke Test,P0,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify job creation with all required and optional fields,Required + description / timezone / timeout / audience_user_ids / audience_group_ids,Admin authenticated,1. POST /api/v1/scheduled-jobs with all fields. 2. Inspect response.,201 with all optional fields stored correctly.,API,Manual,Sanity Test,P1,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify job list returns paginated results,15+ jobs exist,Admin authenticated / 15+ jobs,1. GET /api/v1/scheduled-jobs?page=1&limit=10. 2. GET page=2.,First: 10 jobs with pagination metadata. Second: remaining jobs.,API,Manual,Smoke Test,P0,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify get job detail succeeds with valid ID,Known job ID,Admin authenticated / job exists,1. GET /api/v1/scheduled-jobs/:id. 2. Inspect body.,200 with full job object including audience / cron / webhook / action.,API,Manual,Smoke Test,P0,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify job update succeeds with partial fields,Body: { description: Updated },Admin authenticated / ACTIVE job exists,1. PUT /api/v1/scheduled-jobs/:id. 2. GET to confirm.,200. Only description changed / other fields unchanged.,API,Manual,Sanity Test,P1,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify job deletion returns 204,ACTIVE job ID,Admin authenticated / ACTIVE job exists,1. DELETE /api/v1/scheduled-jobs/:id. 2. GET same ID.,204 on delete. 404 on subsequent GET.,API,Manual,Smoke Test,P0,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify creation returns 400 when required field missing,Body missing name field,Admin authenticated,1. POST without name. 2. Inspect response.,400 with validation error: name required.,API,Manual,Regression Test,P1,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify creation returns 422 for invalid cron,cron_expression: invalid-cron,Admin authenticated,1. POST with invalid cron. 2. Inspect response.,422 with invalid cron expression error.,API,Manual,Regression Test,P1,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify update returns 409 when PROCESSING,,Admin authenticated / run PROCESSING,1. PUT /api/v1/scheduled-jobs/:id.,409: cannot update while PROCESSING.,API,Manual,Regression Test,P1,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify deletion returns 409 when PROCESSING,,Admin authenticated / run PROCESSING,1. DELETE /api/v1/scheduled-jobs/:id.,409: cannot delete while PROCESSING.,API,Manual,Regression Test,P1,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify get detail returns 404 for non-existent ID,,Admin authenticated,1. GET /api/v1/scheduled-jobs/non-existent-uuid.,404: job not found.,API,Manual,Regression Test,P2,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify list filters by status and search with pagination,Query: ?status=ACTIVE&search=Morning&page=1&limit=5,Admin authenticated / various jobs,1. GET with status + search + pagination params. 2. Inspect schema.,200 with only ACTIVE jobs matching Morning. Pagination metadata included.,API,Manual,Sanity Test,P2,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify creation handles max length name,255-char name / 256-char name,Admin authenticated,1. POST with 255-char name. 2. POST with 256-char name.,255 → 201. 256 → 400 validation error.,API,Manual,Regression Test,P2,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify list handles zero results,search=zzz_nonexistent,Admin authenticated / no matching jobs,1. GET with non-matching search.,200 with empty array / total: 0.,API,Manual,Regression Test,P2,Job CRUD,,
Scheduled Jobs > Job CRUD API,Admin,API,Verify list handles page beyond total pages,page=999&limit=10,Admin authenticated / 5 jobs,1. GET with page=999.,200 with empty array / correct metadata.,API,Manual,Regression Test,P2,Job CRUD,,
Scheduled Jobs > Trigger Step & Cron,Admin,API,Verify manual trigger succeeds and creates job run,,Admin authenticated / ACTIVE job with audience,1. POST /api/v1/scheduled-jobs/:id/trigger. 2. Inspect response. 3. GET runs.,202. New run record: PENDING → PROCESSING.,API,Manual,Smoke Test,P0,Trigger,,
Scheduled Jobs > Trigger Step & Cron,Admin,API,Verify cron fires at configured schedule,cron: * * * * * (every minute),ACTIVE job with every-minute cron,1. Create job. 2. Wait for next minute. 3. Query runs.,New run automatically created at scheduled time.,API,Manual,Sanity Test,P1,Trigger,,
Scheduled Jobs > Trigger Step & Cron,Admin,API,Verify audience resolution deduplicates overlapping groups,user_ids: [u1] / group_ids: [g1 containing u1],Job with overlapping audience,1. Trigger job. 2. Inspect run total_users.,u1 appears once. total_users = unique count.,API,Manual,Regression Test,P1,Trigger,,
Scheduled Jobs > Trigger Step & Cron,Admin,API,Verify timezone applied correctly to cron,cron: 0 8 * * * / timezone: Asia/Bangkok,Job with timezone config,1. Create job. 2. Inspect next run time.,Scheduled at 08:00 ICT not UTC.,API,Manual,Regression Test,P2,Trigger,,
Scheduled Jobs > Trigger Step & Cron,Admin,API,Verify manual trigger returns 404 for non-existent job,,Admin authenticated,1. POST /trigger for non-existent ID.,404: job not found.,API,Manual,Regression Test,P2,Trigger,,
Scheduled Jobs > Trigger Step & Cron,Admin,API,Verify trigger fails when job has no audience,,Job with empty audience,1. POST /trigger.,400: no audience to process / or run with total_users: 0.,API,Manual,Regression Test,P2,Trigger,,
Scheduled Jobs > Trigger Step & Cron,Admin,API,Verify trigger handles 10000+ users,10000+ users via groups,Job with large audience,1. Trigger. 2. Monitor progress.,Run created with correct total. Batch processing succeeds.,API,Manual,Regression Test,P2,Trigger,,
Scheduled Jobs > Trigger Step & Cron,Admin,API,Verify concurrent manual triggers handled,,ACTIVE job exists,1. Send 2 simultaneous trigger requests. 2. Query runs.,Either both create runs or second returns 409. No corruption.,API,Manual,Regression Test,P2,Trigger,,
Scheduled Jobs > Process Step & Webhook,Admin,API,Verify webhook sends correct payload to AI service,3 users in audience,Job triggered / mock webhook,1. Trigger with 3 users. 2. Inspect mock request.,POST with { job_id / run_id / audiences: [{user_id / display_name / email}] / metadata }.,API,Manual,Smoke Test,P0,Webhook,,
Scheduled Jobs > Process Step & Webhook,Admin,API,Verify webhook has correct auth headers,,Job triggered / mock webhook,1. Trigger. 2. Inspect headers.,X-API-Key matches config. X-Signature is valid HMAC-SHA256.,API,Manual,Smoke Test,P0,Webhook,,
Scheduled Jobs > Process Step & Webhook,Admin,API,Verify callback processes and updates per-user status,Callback: { job_id / run_id / user_id: u1 / status: success / result_payload },Run PROCESSING / users PENDING,1. POST /callback with valid data + X-Signature. 2. Inspect status.,200. User u1 → SUCCESS.,API,Manual,Smoke Test,P0,Webhook,,
Scheduled Jobs > Process Step & Webhook,Admin,API,Verify batch throttling at 10 per batch,25 users,Job with 25 users / mock with timestamps,1. Trigger. 2. Inspect request logs.,3 batches: 10 / 10 / 5 with delays between.,API,Manual,Regression Test,P1,Webhook,,
Scheduled Jobs > Process Step & Webhook,Admin,API,Verify webhook timeout respected,Timeout: 5s / mock delays 10s,Job with 5s timeout,1. Trigger. 2. Wait. 3. Inspect run.,After 5s: timeout. Run → FAILED/CUTOFF.,API,Manual,Regression Test,P1,Webhook,,
Scheduled Jobs > Process Step & Webhook,Admin,API,Verify callback rejects invalid HMAC signature,X-Signature with wrong secret,Run PROCESSING,1. POST /callback with wrong signature.,401. Callback rejected. Status unchanged.,API,Manual,Regression Test,P1,Webhook,,
Scheduled Jobs > Process Step & Webhook,Admin,API,Verify callback returns 404 for non-existent run,run_id: fake-run,No matching run,1. POST /callback with fake run_id.,404: run not found.,API,Manual,Regression Test,P2,Webhook,,
Scheduled Jobs > Process Step & Webhook,Admin,API,Verify timeout at max boundary (3600s),Timeout: 3600 / 3601,Admin authenticated,1. Create with 3600. 2. Create with 3601.,3600 → 201. 3601 → 400.,API,Manual,Regression Test,P2,Webhook,,
Scheduled Jobs > Process Step & Webhook,Admin,API,Verify duplicate callback handled idempotently,u1 already SUCCESS,Run with u1 already succeeded,1. Send callback for u1 again.,200 no change or 409. No duplicate widgets.,API,Manual,Regression Test,P2,Webhook,,
Scheduled Jobs > Process Step & Webhook,Admin,API,Verify empty result_payload handled,result_payload: null,Run PROCESSING,1. POST /callback with null payload.,400 or processes with empty content.,API,Manual,Regression Test,P2,Webhook,,
Scheduled Jobs > Action & Home Page Delivery,Admin,Web,Verify Morning Brief widget created after successful callback,result_payload: { type: morning_brief / title / content / generated_at },Job triggered with home_page_widget / success callback,1. Trigger. 2. Send success callback for u1. 3. Open u1 home page.,Widget displayed with correct title / content / timestamp.,Web,Manual,Smoke Test,P0,Home Page Widget,,
Scheduled Jobs > Action & Home Page Delivery,Admin,Web,Verify widget updated not duplicated on new callback,,u1 already has Morning Brief,1. Trigger new run. 2. Send callback for u1 with new content. 3. Open home page.,Existing widget updated. Not duplicated.,Web,Manual,Regression Test,P1,Home Page Widget,,
Scheduled Jobs > Action & Home Page Delivery,Admin,API,Verify immediate delivery mode works instantly,,Job with immediate delivery / run PROCESSING,1. Send success callback. 2. Immediately query widgets.,Widget available immediately.,API,Manual,Sanity Test,P1,Home Page Widget,,
Scheduled Jobs > Action & Home Page Delivery,Admin,API,Verify scheduled delivery mode delivers at specified time,Delivery time: 5 min in future,Job with scheduled delivery,1. Send callback. 2. Check immediately. 3. Wait. 4. Check again.,Not visible immediately. Appears at scheduled time.,API,Manual,Regression Test,P1,Home Page Widget,,
Scheduled Jobs > Action & Home Page Delivery,Admin,API,Verify widget not created when callback status failed,status: failed,Run PROCESSING,1. Send failed callback for u1. 2. Check home page.,No widget created. Per-user status = FAILED.,API,Manual,Regression Test,P1,Home Page Widget,,
Scheduled Jobs > Action & Home Page Delivery,Admin,API,Verify unsupported action_type rejected,action_type: unsupported_action,Admin authenticated,1. POST /api/v1/scheduled-jobs with unsupported action.,400: unsupported action_type.,API,Manual,Regression Test,P2,Home Page Widget,,
Scheduled Jobs > Action & Home Page Delivery,Admin,Web,Verify widget handles 50000+ char content,Content: 50000+ characters,Callback with huge content,1. Send callback. 2. Check widget.,Widget rendered without errors. Content displayed or gracefully truncated.,Web,Manual,Regression Test,P2,Home Page Widget,,
Scheduled Jobs > Action & Home Page Delivery,Admin,Web,Verify widget handles HTML/script injection safely,title: <script>alert(1)</script>,Callback with script in result_payload,1. Send callback with script tags. 2. Open home page.,HTML sanitized. No XSS. Content renders safely.,Web,Manual,Regression Test,P2,Home Page Widget,,
Scheduled Jobs > Action & Home Page Delivery,Admin,API,Verify delivery handles deactivated user gracefully,,u1 deactivated after trigger,1. Trigger with u1. 2. Deactivate u1. 3. Send callback.,No unhandled error. Widget skipped or warning logged.,API,Manual,Regression Test,P2,Home Page Widget,,
Scheduled Jobs > Job Run Lifecycle,Admin,API,Verify PENDING → PROCESSING → COMPLETED when all succeed,3 users / all success,Job with 3 users / mock success,1. Trigger. 2. Verify PENDING. 3. Wait (PROCESSING). 4. All callbacks succeed. 5. Query.,COMPLETED. total: 3 / success: 3 / failed: 0 / cutoff: 0.,API,Manual,Smoke Test,P0,Run Lifecycle,,
Scheduled Jobs > Job Run Lifecycle,Admin,API,Verify run history returns paginated results,,Job has 15+ runs,1. GET /runs?page=1&limit=10.,200 with 10 runs / pagination / most recent first.,API,Manual,Sanity Test,P1,Run Lifecycle,,
Scheduled Jobs > Job Run Lifecycle,Admin,API,Verify retry of failed deliveries succeeds,,Run COMPLETED / 2 of 5 users FAILED,1. POST /retry. 2. Monitor re-processing.,202. 2 failed users re-processed. Success → per-user SUCCESS.,API,Manual,Regression Test,P1,Run Lifecycle,,
Scheduled Jobs > Job Run Lifecycle,Admin,API,Verify run FAILED when all deliveries fail,3 users / all fail,Job with 3 users / all fail,1. Trigger. 2. All callbacks fail. 3. Query.,FAILED. success: 0 / failed: 3.,API,Manual,Regression Test,P1,Run Lifecycle,,
