"Section","Role","Channel","Title","Test Data","Preconditions","Steps","Expected Result","Platform","TestMethod","Type","P","References","Release version","QA Responsibility"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check validation error should appear when entering invalid cron expression","Invalid cron: * * * * * *","User is logged in to EkoAI Console with admin access","1. Open create wizard
2. Navigate to trigger config step
3. Enter invalid cron expression
4. Try to save","1. Validation error is displayed
2. Error indicates invalid cron format
3. Job cannot be created with bad cron","Web","Manual","Regression Test","P2","Cron Validation","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check default timeout should be 100 seconds when user does not modify timeout field","","User is logged in to EkoAI Console with admin access","1. Open create wizard
2. Configure all required fields
3. Do NOT modify the timeout field
4. Create the job","1. Job is created successfully
2. Process step timeoutSeconds is set to 100 (default)
3. Default value is visible in job configuration","Web","Manual","Regression Test","P2","Default Config","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check end date picker should accept a single date selection","","User is logged in to EkoAI Console with admin access","1. Open create wizard
2. Navigate to trigger config step
3. Open Date picker component
4. Select a future end date","1. Date picker opens with Type=One Date / Preset=False
2. Single end date can be selected
3. Selected date is saved to job configuration","Web","Manual","Regression Test","P2","Date Picker","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check runUntilTimes should accept only positive integers","Test values: -1 / 0 / 3 / abc","User is logged in to EkoAI Console with admin access","1. Open create wizard
2. Navigate to trigger config step
3. Enter various values in runUntilTimes field
4. Observe validation","1. Negative numbers and zero are rejected
2. Non-numeric values are rejected
3. Positive integer (e.g. 3) is accepted
4. Job will auto-stop after specified number of runs","Web","Manual","Regression Test","P2","Input Validation","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Job Configuration","Admin","Web","Check job configuration should display all fields in Default state","","User is logged in to EkoAI Console / A scheduled job exists","1. Navigate to an existing scheduled job
2. Observe the Job Configuration page","1. Page displays in Default state
2. All config fields shown: name / schedule / endpoint / action / audience
3. Fields are read-only in default view","Web","Manual","Smoke Test","P1","Job Config UI","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Job Configuration","Admin","Web","Check fields should become editable when entering editing mode","","User is logged in to EkoAI Console / A scheduled job exists","1. Open job configuration
2. Click the Edit button","1. Page transitions to Updating state
2. All editable fields become active
3. Save and Cancel buttons appear","Web","Manual","Smoke Test","P1","Job Config Edit","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Job Configuration","Admin","Web","Check changes should be saved when clicking Save in edit mode","","User is logged in to EkoAI Console / A scheduled job exists","1. Open job configuration in edit mode
2. Modify job name
3. Update cron expression
4. Click Save button","1. Page transitions to Updated state
2. Toast notification with Status=Success appears
3. Changes are persisted to database
4. Page returns to Default state with updated values","Web","Manual","Smoke Test","P1","Job Config Save","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Job Configuration","Admin","Web","Check job status should toggle when clicking enable/disable switch","","User is logged in to EkoAI Console / A scheduled job exists","1. Open job configuration
2. Toggle the isEnabled switch on/off","1. Job enable/disable status is updated immediately
2. Visual indicator reflects new state
3. Disabled jobs will not be picked by scheduler","Web","Manual","Smoke Test","P1","Job Status Toggle","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Job Configuration","Admin","Web","Check process endpoint should update when changing URL in edit mode","New endpoint: https://api.example.com/v2/process","User is logged in to EkoAI Console / A scheduled job exists","1. Open job configuration in edit mode
2. Change the process endpoint URL
3. Click Save","1. New endpoint URL is persisted
2. Toast notification confirms save
3. Next runs will use the updated endpoint","Web","Manual","Sanity Test","P2","Endpoint Update","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Job Configuration","Admin","Web","Check confirmation modal should appear before deleting a job","","User is logged in to EkoAI Console / A scheduled job exists","1. Open job configuration
2. Click the Delete button
3. Observe the modal","1. Confirmation modal (Type=Basic modal) appears
2. Modal warns about delete consequences
3. Cancel and Confirm options are available","Web","Manual","Regression Test","P1","Delete Confirmation","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Job Configuration","Admin","Web","Check job should be soft-deleted when confirming delete in modal","","User is logged in to EkoAI Console / A scheduled job exists","1. Open job configuration
2. Click Delete button
3. Click Confirm in the modal","1. Job is marked isDeleted=true
2. Job no longer appears in active list on Dashboard
3. Job data is retained for history purposes","Web","Manual","Regression Test","P1","Soft Delete","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Job Configuration","Admin","Web","Check nextRun field should be read-only and not editable by user","","User is logged in to EkoAI Console / A scheduled job exists","1. Open job configuration
2. Look at the nextRun field
3. Attempt to click or modify it","1. nextRun field is displayed but not editable
2. No text cursor or edit option appears
3. Value is maintained by scheduler system only","Web","Manual","Regression Test","P2","Read-only Field","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Job Configuration","Admin","Web","Check nextRun should be recalculated when cron expression is updated","New cron: 0 9 * * 1-5 (weekdays at 09:00)","User is logged in to EkoAI Console / A scheduled job exists","1. Open job configuration in edit mode
2. Change cron expression to '0 9 * * 1-5'
3. Click Save","1. Changes are saved successfully
2. nextRun is recalculated based on new cron definition
3. Updated nextRun reflects next weekday at 09:00","Web","Manual","Regression Test","P1","Cron Recalculation","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Job Configuration","Admin","Web","Check action schedule should update when changing from immediate to time-triggered","","User is logged in to EkoAI Console / A scheduled job exists","1. Open job configuration in edit mode
2. Change action schedule from immediate to time-triggered
3. Set trigger time
4. Save changes","1. Action schedule type is updated
2. Time-trigger configuration is saved
3. Next runs will respect new delivery timing","Web","Manual","Regression Test","P2","Schedule Change","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Recipients","Admin","Web","Check audience group should display users and directories in Default state","","User is logged in to EkoAI Console / A scheduled job exists","1. Navigate to Recipients tab of a scheduled job
2. Observe the Audience Group section","1. Audience Group displays in Default state
2. Added user IDs are listed
3. Added directory IDs are listed
4. Audience type shows 'Eko'","Web","Manual","Smoke Test","P1","Recipients UI","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Recipients","Admin","Web","Check users should be added when entering Eko user IDs in edit mode","Valid Eko user IDs","User is logged in to EkoAI Console / A scheduled job exists","1. Enter Updating state on Recipients tab
2. Add Eko user IDs to the audience
3. Click Save","1. User IDs are added to audience.userIds array
2. Transitions to Updated state
3. Toast notification with Success appears","Web","Manual","Smoke Test","P1","Add Users","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Recipients","Admin","Web","Check directories should be added when entering Eko directory IDs","Valid Eko directory/group IDs","User is logged in to EkoAI Console / A scheduled job exists","1. Enter Updating state on Recipients tab
2. Add Eko directory/group IDs
3. Click Save","1. Directory IDs are added to audience.directoriesIds array
2. Changes are persisted
3. Toast notification confirms save","Web","Manual","Smoke Test","P1","Add Directories","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Recipients","Admin","Web","Check audience should be resolved to individual users at trigger time","Audience with userIds + directoryIds configured","User is logged in to EkoAI Console / A scheduled job exists","1. Configure audience with both user IDs and directory IDs
2. Wait for scheduled job to trigger","1. System calls Eko APIs to resolve directories into individual users
2. Deleted/disabled users are filtered out
3. Final audience list contains only active users","Web","Manual","Smoke Test","P1","Audience Resolution","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Recipients","Admin","Web","Check Eko API should be called for user resolution when job triggers","","User is logged in to EkoAI Console / A scheduled job exists","1. Configure job with userIds
2. Trigger the job","1. EkoAI calls Eko APIs (Query Users / Get Users by IDs)
2. Uses Network.ekoConfig for authentication
3. User details are fetched and stored in run snapshot","Web","Manual","Smoke Test","P1","Eko API Call","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Recipients","Admin","Web","Check Eko API should be called for directory resolution when job triggers with directoryIds","Audience with directoryIds configured","User is logged in to EkoAI Console / A scheduled job exists","1. Configure job with directoryIds
2. Trigger the job","1. EkoAI calls Eko APIs (Query Directories / Query Users from Directory)
2. Directory groups are resolved into individual user IDs
3. Resolved users are added to the audience snapshot","Web","Manual","Smoke Test","P1","Directory Resolution","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Recipients","Admin","Web","Check deleted Eko users should be excluded from audience at trigger time","Audience includes a user that was deleted on Eko","User is logged in to EkoAI Console / A scheduled job exists","1. Configure audience with a user ID
2. Delete that user on Eko platform
3. Trigger the scheduled job","1. Deleted user is excluded from ScheduleJobRun.scheduleJobAudience
2. Job processes only active users
3. No error is thrown for the excluded user","Web","Manual","Regression Test","P1","User Exclusion","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Recipients","Admin","Web","Check job should fail gracefully when Eko API is unavailable during audience resolution","","User is logged in to EkoAI Console / A scheduled job exists","1. Configure job with audience
2. Make Eko API unavailable
3. Trigger the job","1. Audience resolution fails with API error
2. Run is marked as failed or retries gracefully
3. Error details are logged for troubleshooting","Web","Manual","Regression Test","P1","API Failure","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Recipients","Admin","Web","Check audience snapshot should remain static during an active job run","","User is logged in to EkoAI Console / A scheduled job exists","1. Trigger a job run with configured audience
2. After run starts / modify the audience on Eko (add/remove users)
3. Observe the running job","1. Running job uses the snapshot taken at trigger time
2. New/removed users do not affect the current run
3. Changes only apply to next trigger","Web","Manual","Regression Test","P2","Static Snapshot","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Recipients","Admin","Web","Check audience type should always show Eko in Phase 1","","User is logged in to EkoAI Console / A scheduled job exists","1. Navigate to Recipients tab
2. Observe the audience type field","1. Audience type displays 'Eko'
2. No other audience type options are available
3. Field is read-only or pre-selected","Web","Manual","Regression Test","P2","Audience Type","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Recipients","Admin","Web","Check bulk operations modal should open when managing audience","","User is logged in to EkoAI Console / A scheduled job exists","1. Navigate to Recipients tab
2. Click manage audience button
3. Observe the modal","1. Modal (Desktop variant) opens
2. Bulk add/remove options are available for users and directories
3. Modal allows batch operations","Web","Manual","Regression Test","P2","Bulk Operations","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > History Logs","Admin","Web","Check history logs should display past runs with status and timestamps","","User is logged in to EkoAI Console / A scheduled job with past runs exists","1. Navigate to History Logs tab of a job
2. Observe the table content","1. Table shows past job runs
2. Each run shows status (RUNNING/SUCCESS/FAILED)
3. StartedAt and finishedAt timestamps are displayed","Web","Manual","Smoke Test","P1","History Logs UI","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > History Logs","Admin","Web","Check per-user execution details should be visible when clicking on a run entry","","User is logged in to EkoAI Console / A scheduled job exists","1. Navigate to History Logs
2. Click on a ScheduleJobRunUser entry","1. Detail view opens showing process status and action status
2. Fail reasons are displayed if applicable
3. Timestamps for each step are shown","Web","Manual","Smoke Test","P1","Run Details","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > History Logs","Admin","Web","Check failed executions should be re-enqueued when clicking Retry","","User is logged in / Job has failed ScheduleJobRunUser entries","1. Navigate to History Logs
2. Select failed ScheduleJobRunUser entries
3. Click Retry button","1. Retrying state is shown
2. Selected entries are re-enqueued for processing
3. Status updates reflect retry progress","Web","Manual","Smoke Test","P1","Retry Failed","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > History Logs","Admin","Web","Check ScheduleJobRun aggregated status should display after run completes","","User is logged in to EkoAI Console / A scheduled job exists","1. Wait for a job run to complete
2. Navigate to History Logs
3. Observe the run status","1. ScheduleJobRun shows aggregated status: SUCCESS or FAILED
2. Status reflects all per-user executions
3. Timestamp shows completion time","Web","Manual","Smoke Test","P1","Run Status","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > History Logs","Admin","Web","Check per-user status transitions should be tracked in history","","User is logged in to EkoAI Console / A scheduled job exists","1. Trigger a job run
2. Navigate to History Logs
3. Expand a run to see per-user details","1. Each user shows status progression
2. Transitions visible: PENDING > PROCESSING > EXECUTING > SUCCESS/FAILED
3. Timestamps for each transition are recorded","Web","Manual","Sanity Test","P2","Status Tracking","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > History Logs","Admin","Web","Check empty state should be shown when job has no past runs","","User is logged in to EkoAI Console / A scheduled job exists","1. Navigate to History Logs for a newly created job with no runs
2. Observe the page content","1. Empty state frame is displayed
2. Appropriate message indicates no runs yet
3. No table rows are shown","Web","Manual","Regression Test","P2","Empty History","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > History Logs","Admin","Web","Check run detail modal should handle missing data gracefully","","User is logged in to EkoAI Console / A scheduled job exists","1. Navigate to History Logs
2. Click on a run entry with incomplete data","1. Modal (Type=Basic modal) opens
2. Available data is displayed
3. Missing fields show placeholder or N/A without errors","Web","Manual","Regression Test","P2","Incomplete Data","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > History Logs","Admin","Web","Check select all should work for entries on current page","","User is logged in to EkoAI Console / A scheduled job exists","1. Navigate to History Logs with multiple entries
2. Click 'Select all' > 'This page'","1. All visible entries on current page are selected
2. Selection checkboxes are checked
3. Bulk action buttons become available","Web","Manual","Regression Test","P2","Select All Page","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > History Logs","Admin","Web","Check select all should handle 400 audience entries across pages","Job run with 400 audience members","User is logged in to EkoAI Console / A scheduled job exists","1. View job run with 400 audience members
2. Click 'Select all'
3. Confirm all entries selection","1. All 400 audience entries are selected across pages
2. UI handles large selection without freezing
3. Bulk actions apply to all selected entries","Web","Manual","Regression Test","P2","Large Selection","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Trigger Step","Admin","API","Check scheduler should pick up jobs when nextRun time is due","Enabled job with nextRun <= now","EkoAI scheduler is running / At least one enabled job exists","1. Create an enabled scheduled job with nextRun in the past or now
2. Wait for the scheduler tick to execute","1. Scheduler identifies the due job
2. ScheduleJobRun is created with config + audience snapshot
3. Job processing begins","API","Manual","Smoke Test","P1","Scheduler Trigger","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Trigger Step","Admin","API","Check nextRun should be updated after each successful trigger","Job with cron '0 8 * * 1-5'","EkoAI scheduler is running / At least one enabled job exists","1. Trigger a job with cron '0 8 * * 1-5'
2. Check the nextRun value after trigger","1. nextRun is recalculated based on iCalendar definition
2. New nextRun points to next weekday at 08:00
3. lastRun is updated to current trigger time","API","Manual","Smoke Test","P1","Next Run Update","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Trigger Step","Admin","API","Check job run snapshot should contain frozen config at trigger time","","EkoAI scheduler is running / At least one enabled job exists","1. Trigger a job run
2. Inspect the created ScheduleJobRun record","1. ScheduleJobRun.scheduleJobStep contains frozen snapshot
2. Trigger / process / action config are all captured
3. Snapshot does not change even if job config is modified later","API","Manual","Smoke Test","P1","Config Snapshot","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Trigger Step","Admin","API","Check internal trigger endpoint should process eligible jobs","","EkoAI scheduler is running / At least one enabled job exists","1. POST to /_internal/scheduled-job-action-orchestrator/trigger
2. Observe response","1. Endpoint processes eligible jobs within the tick interval (~1 minute)
2. Returns success response
3. Due jobs are picked up and run creation begins","API","Manual","Smoke Test","P1","Trigger Endpoint","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Trigger Step","Admin","API","Check scheduler should skip jobs when isEnabled is false","Job with isEnabled=false","EkoAI scheduler is running / At least one enabled job exists","1. Create a scheduled job with isEnabled=false
2. Set nextRun to past time
3. Wait for scheduler tick","1. Disabled job is NOT picked up by scheduler
2. No ScheduleJobRun is created
3. nextRun remains unchanged","API","Manual","Regression Test","P1","Skip Disabled","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Trigger Step","Admin","API","Check scheduler should stop triggering after endDate has passed","Job with endDate in the past","EkoAI scheduler is running / At least one enabled job exists","1. Create a job with endDate set to yesterday
2. Wait for scheduler tick","1. Job is not triggered after endDate
2. No new ScheduleJobRun is created
3. Job remains in list but is no longer scheduled","API","Manual","Regression Test","P1","End Date Check","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Trigger Step","Admin","API","Check scheduler should stop triggering after runUntilTimes limit is reached","Job with runUntilTimes=3 / already run 3 times","EkoAI scheduler is running / At least one enabled job exists","1. Create a job with runUntilTimes=3
2. Run the job 3 times
3. Wait for scheduler tick after 3rd run","1. After 3rd run / job is no longer triggered
2. runTimes matches runUntilTimes (3)
3. No additional ScheduleJobRun is created","API","Manual","Regression Test","P1","Run Limit","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Trigger Step","Admin","API","Check runTimes should increment by 1 after each trigger","","EkoAI scheduler is running / At least one enabled job exists","1. Trigger a job multiple times
2. Check runTimes value after each trigger","1. ScheduleJob.step.trigger.runTimes increments by 1
2. Count accurately reflects total number of runs
3. Value persists across scheduler restarts","API","Manual","Regression Test","P2","Run Counter","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Trigger Step","Admin","API","Check lastRun should be updated to trigger datetime after each trigger","","EkoAI scheduler is running / At least one enabled job exists","1. Trigger a job
2. Check ScheduleJob.step.trigger.lastRun value","1. lastRun is updated to the exact trigger datetime
2. Timestamp is accurate and persisted
3. Value is visible in job configuration page","API","Manual","Regression Test","P2","Last Run Update","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Process Step","Admin","API","Check individual request should be dispatched for each audience user to external endpoint","Job with 5 audience users","Job has been triggered / External endpoint is configured","1. Trigger a job with 5 audience users configured
2. Monitor requests sent to external endpoint","1. Five separate requests are sent to the process endpoint
2. Each request contains unique scheduleJobRunUserId
3. Each request includes user context data","API","Manual","Smoke Test","P1","Per-User Dispatch","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Process Step","Admin","API","Check API key header should be included in outbound request to external endpoint","","Job has been triggered / External endpoint is configured","1. Trigger a job
2. Inspect the outbound request to external endpoint","1. Request contains X-API-KEY header
2. Header value matches the configured apiKey
3. Key is sent securely in the header","API","Manual","Smoke Test","P1","API Key Header","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Process Step","Admin","API","Check HMAC signature should be included in outbound request header","","Job has been triggered / External endpoint is configured","1. Trigger a job
2. Inspect the outbound request headers","1. EkoAI-Signature header is present
2. Signature is HMAC-SHA256 computed over the JSON payload
3. External server can verify the signature with shared key","API","Manual","Smoke Test","P1","HMAC Signature","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Process Step","Admin","API","Check user status should advance to EXECUTING when endpoint returns 200/202","","Job has been triggered / External endpoint is configured","1. Trigger a job
2. External endpoint returns HTTP 200 OK","1. ScheduleJobRunUser.status advances to EXECUTING
2. System awaits callback from external service
3. Processing timestamp is recorded","API","Manual","Smoke Test","P1","200 Acknowledgement","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Process Step","Admin","API","Check request payload should contain guaranteed user fields","","Job has been triggered / External endpoint is configured","1. Trigger a job
2. Inspect the outbound request payload","1. Payload contains: id (scheduleJobRunUserId)
2. data.userId is present
3. data.username is present
4. Guaranteed fields are always included","API","Manual","Smoke Test","P1","Payload Format","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Process Step","Admin","API","Check ScheduleJobRunUser record should be created per user when job triggers","Job with N audience users","Job has been triggered / External endpoint is configured","1. Trigger a job with N audience users
2. Inspect the created records","1. N ScheduleJobRunUser records are created
2. Each record has initial status PENDING
3. Records are linked to the parent ScheduleJobRun","API","Manual","Smoke Test","P1","Record Creation","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Process Step","Admin","API","Check user status should be FAILED immediately when endpoint returns 4xx","","Job has been triggered / External endpoint is configured","1. Trigger a job
2. External endpoint returns HTTP 400 or 403","1. ScheduleJobRunUser.status is set to FAILED
2. failReasonCode = VALIDATION_ERROR
3. No automatic retry is attempted for 4xx errors","API","Manual","Regression Test","P1","4xx Failure","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Process Step","Admin","API","Check request should retry with backoff when endpoint returns 5xx","","Job has been triggered / External endpoint is configured","1. Trigger a job
2. External endpoint returns HTTP 500","1. EkoAI retries up to configured retry times (default 3)
2. Backoff delay increases between retries
3. If all retries exhausted / status is set to FAILED","API","Manual","Regression Test","P1","5xx Retry","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Process Step","Admin","API","Check request should be treated as failure when endpoint does not respond within 10 seconds","","Job has been triggered / External endpoint is configured","1. Trigger a job
2. External endpoint does not respond within 10 seconds","1. Timeout is treated as transient failure
2. Request is retried up to retry times
3. If retries exhausted / user status is FAILED","API","Manual","Regression Test","P1","Webhook Timeout","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Process Step","Admin","API","Check slow-start throttling should increase concurrency on success for large audience","Job with 100+ audience users","Job has been triggered / External endpoint is configured","1. Trigger a job with 100+ audience users
2. Monitor request dispatch pattern","1. System starts with low concurrency (slow-start)
2. Concurrency increases as successful responses are received
3. Concurrency decreases on failures
4. Large audience is processed without overwhelming the endpoint","API","Manual","Regression Test","P1","Throttling","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Process Step","Admin","API","Check default timeout should be 100 seconds when not configured","","Job has been triggered / External endpoint is configured","1. Create a job with default timeout
2. Trigger the job
3. External callback does not arrive within 100 seconds","1. After 100 seconds / ScheduleJobRunUser is marked FAILED
2. Default timeout value is applied
3. Timeout is configurable per job","API","Manual","Regression Test","P2","Default Timeout","Eko 18.0","Sharp"
